Response ID,Time Started,Date Submitted,Status,Legacy Comments,Comments,Language,Referer,User Agent,Tags,Chrome desktop:A web feature must be supported by these browsers before you can use it:,Chrome on Android:A web feature must be supported by these browsers before you can use it:,Android Webview:A web feature must be supported by these browsers before you can use it:,Firefox desktop:A web feature must be supported by these browsers before you can use it:,Firefox on Android:A web feature must be supported by these browsers before you can use it:,Edge desktop:A web feature must be supported by these browsers before you can use it:,Internet Explorer:A web feature must be supported by these browsers before you can use it:,Safari desktop:A web feature must be supported by these browsers before you can use it:,Safari on iOS:A web feature must be supported by these browsers before you can use it:,Opera desktop:A web feature must be supported by these browsers before you can use it:,Opera on Android:A web feature must be supported by these browsers before you can use it:,Samsung Internet:A web feature must be supported by these browsers before you can use it:,Other - Please specify:A web feature must be supported by these browsers before you can use it:,Other - Please specify:A web feature must be supported by these browsers before you can use it:,Other - Please specify:A web feature must be supported by these browsers before you can use it:,Other - Please specify:A web feature must be supported by these browsers before you can use it:,"For those browsers, how far back do they need to support a feature before you can use it?","Do you need other browsers to be included in the compatibility tables on MDN? If so, tell us which ones:",How important is it for you to know about browser support for experimental features that must be enabled by the user?,How important is it for you to know whether a browser is planning to ship a feature behind a user preference in an upcoming release?
801,"Oct 24, 2022 10:36:40 am","Oct 24, 2022 10:36:40 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,,,,,,,,,Samsung Internet,,,,,Current major version is enough,,Very important,Very important
802,"Oct 24, 2022 10:39:14 am","Oct 24, 2022 10:39:14 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,,,,,,,,,,,,,,Current major version is enough,,Somewhat important,Somewhat important
803,"Oct 24, 2022 10:59:04 am","Oct 24, 2022 10:59:05 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,,,Safari desktop,,,,,,,,,Current major version is enough,,Neutral,Neutral
804,"Oct 24, 2022 11:41:45 am","Oct 24, 2022 11:41:45 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,Opera desktop,Opera on Android,Samsung Internet,,,,,Needs to be supported in current and previous major version,,Somewhat important,Somewhat important
805,"Oct 24, 2022 12:07:31 pm","Oct 24, 2022 12:07:31 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,Firefox on Android,Edge desktop,,,,,,,,,,,Needs to be supported in current and previous major version,,Somewhat important,Not important
806,"Oct 24, 2022 12:10:47 pm","Oct 24, 2022 12:10:48 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,,,,,,,,,,,Other - Please specify,,Yandex - desktop ,Needs to be supported in more than current and previous major version,Yandex,Very important,Very important
807,"Oct 24, 2022 12:12:05 pm","Oct 24, 2022 12:12:05 pm",Complete,,,English,https://survey.alchemer.com/s3/7049440/Short-survey-browsers,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,,,,Opera desktop,Opera on Android,Samsung Internet,,Other - Please specify,,Pale Moon,Needs to be supported in more than current and previous major version,,Neutral,Neutral
808,"Oct 24, 2022 12:12:09 pm","Oct 24, 2022 12:12:09 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,,,Edge desktop,Internet Explorer,,,Opera desktop,,Samsung Internet,,,,,Depends on the browser,,Somewhat important,Neutral
809,"Oct 24, 2022 12:59:01 pm","Oct 24, 2022 12:59:01 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,,,Safari desktop,,,,,,Other - Please specify,,Firefox ESR,Current major version is enough,,Not important,Not important
810,"Oct 24, 2022 1:06:08 pm","Oct 24, 2022 1:06:08 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,,,,,Safari desktop,,,,,,,,,Needs to be supported in current and previous major version,"Firefox, Chrome, Safari, Edge",Neutral,Neutral
811,"Oct 24, 2022 1:25:01 pm","Oct 24, 2022 1:25:01 pm",Complete,,,English,https://developer.mozilla.org/,,,,,Android Webview,Firefox desktop,Firefox on Android,,,,,,,,,,,,,,Very important,
812,"Oct 24, 2022 1:32:18 pm","Oct 24, 2022 1:32:18 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,,Somewhat important,Neutral
813,"Oct 24, 2022 1:43:43 pm","Oct 24, 2022 1:43:43 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,,,,,,,,,,,,Needs to be supported in current and previous major version,,Somewhat important,Neutral
814,"Oct 24, 2022 2:11:07 pm","Oct 24, 2022 2:11:07 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,,,,Safari desktop,Safari on iOS,,,,,,,,Depends on the browser,,Not important,Neutral
815,"Oct 24, 2022 2:11:22 pm","Oct 24, 2022 2:11:22 pm",Complete,,,English,https://developer.mozilla.org/,,,,,,,,,,,Safari on iOS,,,,,,,,Current major version is enough,,Neutral,Neutral
816,"Oct 24, 2022 2:24:27 pm","Oct 24, 2022 2:24:27 pm",Complete,,,English,https://developer.mozilla.org/,,,,Chrome on Android,Android Webview,Firefox desktop,,Edge desktop,,,,,,,,,,,Current major version is enough,,Somewhat important,Very important
817,"Oct 24, 2022 2:25:39 pm","Oct 24, 2022 2:25:39 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,Opera desktop,,,,,,,Needs to be supported in more than current and previous major version,,Neutral,Neutral
818,"Oct 24, 2022 2:41:48 pm","Oct 24, 2022 2:41:48 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,,Somewhat important,Somewhat important
819,"Oct 24, 2022 2:55:59 pm","Oct 24, 2022 2:55:59 pm",Complete,,,English,https://developer.mozilla.org/,,,,,,Firefox desktop,,,,,,,,,,,,,Current major version is enough,,Very important,Very important
820,"Oct 24, 2022 2:56:16 pm","Oct 24, 2022 2:56:16 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in more than current and previous major version,,Neutral,Somewhat important
821,"Oct 24, 2022 3:27:47 pm","Oct 24, 2022 3:27:47 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Depends on the browser,,Not important,Not important
822,"Oct 24, 2022 3:48:11 pm","Oct 24, 2022 3:48:11 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,,Safari on iOS,,,,,,,,Current major version is enough,,Neutral,Neutral
823,"Oct 24, 2022 4:24:29 pm","Oct 24, 2022 4:24:29 pm",Complete,,,English,https://survey.alchemer.com/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Depends on the browser,,Neutral,Neutral
824,"Oct 24, 2022 4:41:55 pm","Oct 24, 2022 4:41:55 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Depends on the browser,,Somewhat important,Not important
825,"Oct 24, 2022 5:01:44 pm","Oct 24, 2022 5:01:44 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,,,,Safari desktop,Safari on iOS,,,,,,,,Current major version is enough,,Somewhat important,Neutral
826,"Oct 24, 2022 5:10:35 pm","Oct 24, 2022 5:10:35 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,,,,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,,Somewhat important,Somewhat important
827,"Oct 24, 2022 5:34:10 pm","Oct 24, 2022 5:34:10 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,Internet Explorer,Safari desktop,Safari on iOS,Opera desktop,Opera on Android,Samsung Internet,,,,,Needs to be supported in more than current and previous major version,,Very important,Very important
828,"Oct 24, 2022 6:07:20 pm","Oct 24, 2022 6:07:20 pm",Complete,,,English,https://developer.mozilla.org/,,,,,,Firefox desktop,,,,,,,,,,,,,Current major version is enough,,Not important,Not important
829,"Oct 24, 2022 7:14:09 pm","Oct 24, 2022 7:14:09 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,,,,,,,,,,,,,,Current major version is enough,,Very important,Somewhat important
830,"Oct 24, 2022 7:21:25 pm","Oct 24, 2022 7:21:25 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,,,,,,,,,,,,Current major version is enough,,Somewhat important,Somewhat important
831,"Oct 24, 2022 8:34:23 pm","Oct 24, 2022 8:34:23 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,,,,,,,,,,,,,,Needs to be supported in current and previous major version,,Somewhat important,Very important
832,"Oct 24, 2022 9:05:09 pm","Oct 24, 2022 9:05:09 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,,,,Safari on iOS,,,,,,,,Current major version is enough,,Somewhat important,Somewhat important
833,"Oct 24, 2022 9:21:03 pm","Oct 24, 2022 9:21:03 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,,,,,,,,,,,,,,Current major version is enough,,Somewhat important,Somewhat important
834,"Oct 24, 2022 9:28:55 pm","Oct 24, 2022 9:28:55 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,Edge desktop,,,,,,,,,,,Needs to be supported in more than current and previous major version,,Not important,Neutral
835,"Oct 24, 2022 9:58:03 pm","Oct 24, 2022 9:58:03 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,,,,,Safari desktop,Safari on iOS,,,,,,,,Current major version is enough,,Neutral,Neutral
836,"Oct 24, 2022 10:24:57 pm","Oct 24, 2022 10:24:57 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,,,,,,,,,,,Depends on the browser,,Neutral,Somewhat important
837,"Oct 24, 2022 10:31:51 pm","Oct 24, 2022 10:31:51 pm",Complete,,,English,https://developer.mozilla.org/,,,,,,,,,,,,,,,,Other - Please specify,,,,,,
838,"Oct 24, 2022 10:44:50 pm","Oct 24, 2022 10:44:50 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,,,,,,,,,,,,Needs to be supported in current and previous major version,,Very important,Very important
839,"Oct 24, 2022 10:52:36 pm","Oct 24, 2022 10:52:36 pm",Complete,,,English,https://developer.mozilla.org/,,,,Chrome on Android,,Firefox desktop,,,,,,,,,,,,,Current major version is enough,,Neutral,Neutral
840,"Oct 24, 2022 11:26:08 pm","Oct 24, 2022 11:26:08 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,,,Safari desktop,,Opera desktop,Opera on Android,,,,,,Needs to be supported in more than current and previous major version,,Very important,Somewhat important
841,"Oct 24, 2022 11:53:38 pm","Oct 24, 2022 11:53:38 pm",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,,,Edge desktop,,,,,,,,,,,Current major version is enough,,Very important,Very important
842,"Oct 25, 2022 12:04:09 am","Oct 25, 2022 12:04:09 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,,Very important,Very important
843,"Oct 25, 2022 12:04:44 am","Oct 25, 2022 12:04:45 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,,,Safari desktop,Safari on iOS,,,,,Other - Please specify,,"Also, only if the feature can be polyfilled for the other browsers, or there is a nearly equal alternative already available. If none of those are true, then I will skip the feature. However, if it's also only available in one browser currently, then I may add it (say if it was new to the spec). Progressive enhancement!",Depends on the browser,The browser selection has been spot on for a long time! I do find it nice to see both NodeJS and Deno listed to be nice when applicable also.,Somewhat important,Very important
844,"Oct 25, 2022 12:06:26 am","Oct 25, 2022 12:06:26 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,,,Safari desktop,Safari on iOS,Opera desktop,Opera on Android,Samsung Internet,,,,,Needs to be supported in more than current and previous major version,,Very important,Neutral
845,"Oct 25, 2022 12:13:43 am","Oct 25, 2022 12:13:43 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,,,,,,,,,,,,,,,,,
846,"Oct 25, 2022 12:15:32 am","Oct 25, 2022 12:15:32 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,,,,,Safari desktop,,,,,,,,,Current major version is enough,,Not important,Not important
847,"Oct 25, 2022 12:22:07 am","Oct 25, 2022 12:22:07 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,,,,,,,,,Current major version is enough,,Very important,Somewhat important
848,"Oct 25, 2022 12:36:38 am","Oct 25, 2022 12:36:38 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,Android Webview,Firefox desktop,Firefox on Android,,,,,,,Samsung Internet,,,,,Current major version is enough,,,
849,"Oct 25, 2022 12:39:48 am","Oct 25, 2022 12:39:48 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,,,,,,,,,,Needs to be supported in more than current and previous major version,,Neutral,Somewhat important
850,"Oct 25, 2022 12:56:03 am","Oct 25, 2022 12:56:03 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Depends on the browser,,Somewhat important,Neutral
851,"Oct 25, 2022 12:59:21 am","Oct 25, 2022 12:59:22 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,,,,,,,,,,,,,,Depends on the browser,"Nah i don't think so, as i only use Chrome.",Somewhat important,Somewhat important
852,"Oct 25, 2022 12:59:30 am","Oct 25, 2022 12:59:30 am",Complete,,,English,https://developer.mozilla.org/,,,,,,Firefox desktop,Firefox on Android,,,,,,,,,,,,Current major version is enough,,Very important,Very important
853,"Oct 25, 2022 1:12:55 am","Oct 25, 2022 1:12:55 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,Opera desktop,Opera on Android,Samsung Internet,,,,,Depends on the browser,,Somewhat important,Very important
854,"Oct 25, 2022 1:19:33 am","Oct 25, 2022 1:19:33 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,,,,,,,,,,,,,,,,,
855,"Oct 25, 2022 1:34:08 am","Oct 25, 2022 1:34:08 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,,,Samsung Internet,,,,,Needs to be supported in more than current and previous major version,,Very important,Very important
856,"Oct 25, 2022 1:46:47 am","Oct 25, 2022 1:46:47 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,Opera desktop,Opera on Android,,,,,,Needs to be supported in more than current and previous major version,,Neutral,Neutral
857,"Oct 25, 2022 1:49:07 am","Oct 25, 2022 1:49:07 am",Complete,,,English,https://developer.mozilla.org/,,,,Chrome on Android,,,,,,,,,,,,,,,Current major version is enough,,Very important,Neutral
858,"Oct 25, 2022 1:55:03 am","Oct 25, 2022 1:55:03 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,Internet Explorer,Safari desktop,Safari on iOS,Opera desktop,Opera on Android,Samsung Internet,,,,,Needs to be supported in current and previous major version,,Neutral,Neutral
859,"Oct 25, 2022 2:04:51 am","Oct 25, 2022 2:04:51 am",Complete,,,English,https://developer.mozilla.org/,,,,,,,,,,Safari desktop,Safari on iOS,,,,,,,,Current major version is enough,,Very important,Very important
860,"Oct 25, 2022 2:13:55 am","Oct 25, 2022 2:13:55 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,Opera desktop,Opera on Android,,,,,,Current major version is enough,,Neutral,Neutral
861,"Oct 25, 2022 2:17:26 am","Oct 25, 2022 2:17:26 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,Opera desktop,,,,,,,Needs to be supported in current and previous major version,,Very important,Very important
862,"Oct 25, 2022 2:18:07 am","Oct 25, 2022 2:18:07 am",Complete,,,English,https://developer.mozilla.org/,,,,,,,,,,,Safari on iOS,,,,,,,,Depends on the browser,Google,Somewhat important,Neutral
863,"Oct 25, 2022 2:30:13 am","Oct 25, 2022 2:30:14 am",Complete,,,English,https://developer.mozilla.org/,,,,,,Firefox desktop,,,Internet Explorer,,Safari on iOS,Opera desktop,,,,,,,Needs to be supported in more than current and previous major version,"internet explorer, please put it back or merge it with edge, eg. when some feature was supported by ie/edge < 12 at lest show the correct number or < = sign like with opera",Not important,Neutral
864,"Oct 25, 2022 2:33:18 am","Oct 25, 2022 2:33:19 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,"Fireofx, Chrome, Safari",Neutral,Not important
865,"Oct 25, 2022 2:33:35 am","Oct 25, 2022 2:33:35 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,Firefox on Android,,,,,,,,,,,,Needs to be supported in more than current and previous major version,,Somewhat important,Not important
866,"Oct 25, 2022 2:47:17 am","Oct 25, 2022 2:47:17 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in more than current and previous major version,,Neutral,Somewhat important
867,"Oct 25, 2022 2:51:41 am","Oct 25, 2022 2:51:41 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,,,Safari desktop,,,,,,,,,Needs to be supported in current and previous major version,,Neutral,Neutral
868,"Oct 25, 2022 2:59:14 am","Oct 25, 2022 2:59:14 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,,,,,,,,,,,,,,Current major version is enough,no,Somewhat important,Neutral
869,"Oct 25, 2022 3:21:03 am","Oct 25, 2022 3:21:03 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,Edge desktop,,,Safari on iOS,,,,,,,,Needs to be supported in more than current and previous major version,,Very important,Somewhat important
870,"Oct 25, 2022 3:24:26 am","Oct 25, 2022 3:24:26 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,,,,,,,,,,,,Needs to be supported in current and previous major version,,Somewhat important,Neutral
871,"Oct 25, 2022 3:26:12 am","Oct 25, 2022 3:26:12 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,,Firefox on Android,,,,,,,,,,,,Current major version is enough,,Somewhat important,Very important
872,"Oct 25, 2022 3:34:50 am","Oct 25, 2022 3:34:50 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Current major version is enough,,Neutral,Somewhat important
873,"Oct 25, 2022 3:59:39 am","Oct 25, 2022 3:59:39 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,,Firefox on Android,,Internet Explorer,,,,,,,Other - Please specify,,,Current major version is enough,Iso,Not important,Not important
874,"Oct 25, 2022 4:03:20 am","Oct 25, 2022 4:03:20 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,,,,,,,,,,,,,,Current major version is enough,,Very important,Very important
875,"Oct 25, 2022 4:03:34 am","Oct 25, 2022 4:03:34 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,,,Safari desktop,Safari on iOS,Opera desktop,Opera on Android,,,,,,Needs to be supported in more than current and previous major version,,Somewhat important,Very important
876,"Oct 25, 2022 4:05:08 am","Oct 25, 2022 4:05:09 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,Android Webview,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,brave,Very important,Somewhat important
877,"Oct 25, 2022 4:14:03 am","Oct 25, 2022 4:14:04 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,,,,Internet Explorer,Safari desktop,Safari on iOS,,,Samsung Internet,,Other - Please specify,,Brave,Current major version is enough,BRAVE,Neutral,Somewhat important
878,"Oct 25, 2022 4:36:24 am","Oct 25, 2022 4:36:24 am",Complete,,,English,https://developer.mozilla.org/,,,,,,,,,,,,Opera desktop,,,,,,,,,,
879,"Oct 25, 2022 4:36:36 am","Oct 25, 2022 4:36:36 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,,,,,,,,,,,,,,,,,
880,"Oct 25, 2022 4:59:26 am","Oct 25, 2022 4:59:26 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,,,,,,,,,,Current major version is enough,,Very important,Neutral
881,"Oct 25, 2022 5:00:59 am","Oct 25, 2022 5:00:59 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,,,,,,,,,,Current major version is enough,,Neutral,Neutral
882,"Oct 25, 2022 5:47:01 am","Oct 25, 2022 5:47:01 am",Complete,,,English,https://survey.alchemer.com/s3/7049440/Short-survey-browsers,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,,,,,,,,,,,,Needs to be supported in more than current and previous major version,As many as possible,Neutral,Somewhat important
883,"Oct 25, 2022 5:55:40 am","Oct 25, 2022 5:55:40 am",Complete,,,English,https://developer.mozilla.org/,,,,,,Firefox desktop,Firefox on Android,,,Safari desktop,Safari on iOS,,,,,Other - Please specify,,Chromium Desktop/Android,Needs to be supported in current and previous major version,,Somewhat important,Very important
884,"Oct 25, 2022 6:25:37 am","Oct 25, 2022 6:25:37 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,,Not important,Not important
885,"Oct 25, 2022 6:35:40 am","Oct 25, 2022 6:35:40 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,Edge desktop,,,,,,,,,,,Needs to be supported in more than current and previous major version,,Neutral,Somewhat important
886,"Oct 25, 2022 6:41:27 am","Oct 25, 2022 6:41:27 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,,,,,,,,,,,,,,Current major version is enough,,Not important,Not important
887,"Oct 25, 2022 6:42:13 am","Oct 25, 2022 6:42:13 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,,Somewhat important,Somewhat important
888,"Oct 25, 2022 6:42:44 am","Oct 25, 2022 6:42:44 am",Complete,,,English,https://developer.mozilla.org/,,,,,,,,,,,,,,,,Other - Please specify,,edge,,,,
889,"Oct 25, 2022 6:47:22 am","Oct 25, 2022 6:47:22 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,Edge desktop,,,Safari on iOS,,,,,,,,Depends on the browser,,Very important,Very important
890,"Oct 25, 2022 6:48:10 am","Oct 25, 2022 6:48:10 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,,,Samsung Internet,,,,,Needs to be supported in more than current and previous major version,,Not important,Not important
891,"Oct 25, 2022 6:51:27 am","Oct 25, 2022 6:51:27 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,,,,,,,,,,,,,,Current major version is enough,,Somewhat important,Somewhat important
892,"Oct 25, 2022 7:03:18 am","Oct 25, 2022 7:03:18 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,,Firefox on Android,,,,,,,,,,,,Depends on the browser,"Yes. Chrome, Firefox, MS Edge",Somewhat important,Somewhat important
893,"Oct 25, 2022 8:01:08 am","Oct 25, 2022 8:01:08 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,,,,,,,,,,,,Depends on the browser,,,
894,"Oct 25, 2022 8:30:31 am","Oct 25, 2022 8:30:31 am",Complete,,,English,https://developer.mozilla.org/,,,,,,Firefox desktop,Firefox on Android,,,,,,,,,,,,Needs to be supported in current and previous major version,,Very important,Very important
895,"Oct 25, 2022 8:36:34 am","Oct 25, 2022 8:36:34 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,,,,Safari desktop,Safari on iOS,,,,,,,,Current major version is enough,Internet Explorer 9,Not important,Somewhat important
896,"Oct 25, 2022 8:36:54 am","Oct 25, 2022 8:36:55 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,,,,,,,,,,,,,,,NO,Neutral,Neutral
897,"Oct 25, 2022 8:42:29 am","Oct 25, 2022 8:42:29 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,Opera desktop,Opera on Android,,,,,,Needs to be supported in current and previous major version,,Neutral,Neutral
898,"Oct 25, 2022 8:57:49 am","Oct 25, 2022 8:57:49 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,Chrome on Android,,Firefox desktop,Firefox on Android,Edge desktop,,Safari desktop,Safari on iOS,,,,,,,,Needs to be supported in current and previous major version,,Not important,Not important
899,"Oct 25, 2022 9:32:29 am","Oct 25, 2022 9:32:29 am",Complete,,,English,https://developer.mozilla.org/,,,Chrome desktop,,,Firefox desktop,,,,,,,,,,Other - Please specify,,GTKWebView,Needs to be supported in current and previous major version,"Kindle BetaBrowser, Ladybug",Neutral,Neutral
